Date,Year,Round,Region,Game #,W.Seed,Winner,W. Score,L. Seed,Loser,L.Score
3/17/1989,1989,1,SE,30,3,Seton Hall,60,14,Missouri St.,51
3/17/1989,1989,1,SE,31,7,UTEP,85,10,LSU,74
3/17/1989,1989,1,SE,32,2,Indiana,99,15,George Mason,85
3/18/1989,1989,2,NW,33,1,Illinois,72,9,Ball St.,60
3/18/1989,1989,2,NW,34,4,Louisville,93,5,Arkansas,84
3/19/1989,1989,2,NW,35,3,Missouri,108,11,Texas,89
3/19/1989,1989,2,NW,36,2,Syracuse,65,10,Colorado St.,50
3/18/1989,1989,2,SW,37,1,Oklahoma,124,9,Louisiana Tech,81
3/18/1989,1989,2,SW,38,5,Virginia,104,13,Middle Tennessee,88
3/19/1989,1989,2,SW,39,3,Michigan,91,11,South Alabama,82
3/19/1989,1989,2,SW,40,2,North Carolina,88,7,UCLA,81
3/19/1989,1989,2,NE,41,1,Georgetown,81,9,Notre Dame,74
3/19/1989,1989,2,NE,42,5,North Carolina St.,102,4,Iowa,96
3/18/1989,1989,2,NE,43,11,Minnesota,80,14,Siena,67
3/18/1989,1989,2,NE,44,2,Duke,70,7,West Virginia,63
3/18/1989,1989,2,SE,45,1,Arizona,94,9,Clemson,68
3/18/1989,1989,2,SE,46,4,UNLV,85,12,DePaul,70
3/19/1989,1989,2,SE,47,3,Seton Hall,87,11,Evansville,73
3/19/1989,1989,2,SE,48,2,Indiana,92,7,UTEP,69
3/24/1989,1989,3,NW,49,1,Illinois,83,4,Louisville,69
3/24/1989,1989,3,NW,50,2,Syracuse,83,3,Missouri,80
3/23/1989,1989,3,SW,51,5,Virginia,86,1,Oklahoma,80
3/23/1989,1989,3,SW,52,3,Michigan,92,2,North Carolina,87
3/24/1989,1989,3,NE,53,1,Georgetown,69,5,North Carolina St.,61
3/24/1989,1989,3,NE,54,2,Duke,87,11,Minnesota,70
3/23/1989,1989,3,SE,55,4,UNLV,68,1,Arizona,67
3/23/1989,1989,3,SE,56,3,Seton Hall,78,2,Indiana,65
3/26/1989,1989,4,NW,57,1,Illinois,89,2,Syracuse,86
3/25/1989,1989,4,SW,58,3,Michigan,102,5,Virginia,65
3/26/1989,1989,4,NE,59,2,Duke,85,1,Georgetown,77
3/25/1989,1989,4,SE,60,3,Seton Hall,84,4,UNLV,61
4/1/1989,1989,5,F4,61,3,Michigan,83,1,Illinois,81
4/1/1989,1989,5,F4,62,3,Seton Hall,95,2,Duke,78
4/3/1989,1989,6,Champ,63,3,Michigan,80,3,Seton Hall,79
3/15/1990,1990,1,NW,1,1,Michigan St.,75,16,Murray St.,71
3/15/1990,1990,1,NW,2,9,UC Santa Barbara,70,8,Houston,66
3/15/1990,1990,1,NW,3,5,LSU,70,12,Villanova,63
3/15/1990,1990,1,NW,4,4,Georgia Tech,99,13,East Tennessee St.,83
3/16/1990,1990,1,NW,5,6,Minnesota,64,11,UTEP,61
3/16/1990,1990,1,NW,6,14,Northern Iowa,74,3,Missouri,71
3/16/1990,1990,1,NW,7,7,Virginia,75,10,Notre Dame,67
3/16/1990,1990,1,NW,8,2,Syracuse,70,15,Coppin St.,48
3/15/1990,1990,1,SW,9,1,UNLV,102,16,Little Rock,72
3/15/1990,1990,1,SW,10,8,Ohio St.,84,9,Providence,83
3/15/1990,1990,1,SW,11,12,Ball St.,54,5,Oregon St.,53
3/15/1990,1990,1,SW,12,4,Louisville,78,13,Idaho,59
3/16/1990,1990,1,SW,13,11,Loyola Marymount,111,6,New Mexico St.,92
3/16/1990,1990,1,SW,14,3,Michigan,76,14,Illinois St.,70
3/16/1990,1990,1,SW,15,7,Alabama,71,10,Colorado St.,54
3/16/1990,1990,1,SW,16,2,Arizona,79,15,South Florida,67
3/15/1990,1990,1,NE,17,1,Connecticut,76,16,Boston University,52
3/15/1990,1990,1,NE,18,9,California,65,8,Indiana,63
3/15/1990,1990,1,NE,19,5,Clemson,49,12,BYU,47
3/15/1990,1990,1,NE,20,4,La Salle,79,13,Southern Miss,63
3/16/1990,1990,1,NE,21,6,St. John's,81,11,Temple,65
3/16/1990,1990,1,NE,22,3,Duke,81,14,Richmond,46
3/16/1990,1990,1,NE,23,7,UCLA,68,10,UAB,56
3/16/1990,1990,1,NE,24,2,Kansas,79,15,Robert Morris,71
3/15/1990,1990,1,SE,25,1,Oklahoma,77,16,Towson,68
3/15/1990,1990,1,SE,26,8,North Carolina,83,9,Missouri St.,70
3/15/1990,1990,1,SE,27,12,Dayton,88,5,Illinois,86
3/15/1990,1990,1,SE,28,4,Arkansas,68,13,Princeton,64
3/16/1990,1990,1,SE,29,6,Xavier,87,11,Kansas St.,79
3/16/1990,1990,1,SE,30,3,Georgetown,70,14,Texas Southern,52
3/16/1990,1990,1,SE,31,10,Texas,100,7,Georgia,88
3/16/1990,1990,1,SE,32,2,Purdue,75,15,Louisiana Monroe,63
3/17/1990,1990,2,NW,33,1,Michigan St.,62,9,UC Santa Barbara,58
3/17/1990,1990,2,NW,34,4,Georgia Tech,94,5,LSU,91
3/18/1990,1990,2,NW,35,6,Minnesota,81,14,Northern Iowa,78
3/18/1990,1990,2,NW,36,2,Syracuse,63,7,Virginia,61
3/17/1990,1990,2,SW,37,1,UNLV,76,8,Ohio St.,65
3/17/1990,1990,2,SW,38,12,Ball St.,62,4,Louisville,60
3/18/1990,1990,2,SW,39,11,Loyola Marymount,149,3,Michigan,115
3/18/1990,1990,2,SW,40,7,Alabama,77,2,Arizona,55
3/17/1990,1990,2,NE,41,1,Connecticut,74,9,California,54
3/17/1990,1990,2,NE,42,5,Clemson,79,4,La Salle,75
3/18/1990,1990,2,NE,43,3,Duke,76,6,St. John's,72
3/18/1990,1990,2,NE,44,7,UCLA,71,2,Kansas,70
3/17/1990,1990,2,SE,45,8,North Carolina,79,1,Oklahoma,77
3/17/1990,1990,2,SE,46,4,Arkansas,86,12,Dayton,84
3/18/1990,1990,2,SE,47,6,Xavier,74,3,Georgetown,71
3/18/1990,1990,2,SE,48,10,Texas,73,2,Purdue,72
3/23/1990,1990,3,NW,49,4,Georgia Tech,81,1,Michigan St.,80
