ID,Date,Year,season,Round,Region,F.Rate,F.Rank,F.Seed,F.Team,F.Score,U.Rate,U.Rank,U.Seed,U.Team,U.Score,Overtime,MV,SeD,Upset
126,5-Apr-03,2003,2002-03,5,Final Four,28.62,2,2,Kansas,94,21.3,15,3,Marquette,61,,33,1,
127,5-Apr-03,2003,2002-03,5,Final Four,23.49,7,1,Texas,84,23.28,8,3,Syracuse,95,,11,-2,
128,7-Apr-03,2003,2002-03,6,Championship,28.62,2,2,Kansas,78,23.28,8,3,Syracuse,81,,3,-1,
129,16-Mar-04,2004,2003-04,PI,Midwest,-7.01,240,16,Lehigh,57,-9.35,256,16,Florida A&M,72,,15,0,
130,18-Mar-04,2004,2003-04,1,East,18.26,25,5,Florida,60,13.38,48,12,Manhattan,75,,15,-7,12 over 5
131,18-Mar-04,2004,2003-04,1,East,27.66,3,1,Saint Joseph's,82,-2.5,181,16,Liberty,63,,19,15,
132,18-Mar-04,2004,2003-04,1,East,21.69,15,4,Wake Forest,79,9.09,81,13,VCU,78,,1,9,
133,18-Mar-04,2004,2003-04,1,East,17.11,28,8,Texas Tech,76,14.25,43,9,Charlotte,73,,3,1,
134,18-Mar-04,2004,2003-04,1,Midwest,25.34,7,2,Gonzaga,76,0.53,152,15,Valparaiso,49,,27,13,
135,18-Mar-04,2004,2003-04,1,South,32.33,1,1,Duke,96,-10.72,266,16,Alabama St.,61,,35,15,
136,18-Mar-04,2004,2003-04,1,South,21.54,17,3,Texas,66,4.86,108,14,Princeton,49,,17,11,
137,18-Mar-04,2004,2003-04,1,South,23.23,11,6,North Carolina,63,15.42,36,11,Air Force,52,,11,5,
138,18-Mar-04,2004,2003-04,1,South,17.35,27,8,Seton Hall,80,16.18,32,9,Arizona,76,,4,1,
139,18-Mar-04,2004,2003-04,1,West,22.52,12,1,Stanford,71,-7.69,248,16,UTSA,45,,26,15,
140,18-Mar-04,2004,2003-04,1,West,28.3,2,2,Connecticut,70,-1.37,172,15,Vermont,53,,17,13,
141,18-Mar-04,2004,2003-04,1,West,19.81,22,4,Maryland,86,14.69,41,13,UTEP,83,,3,9,
142,18-Mar-04,2004,2003-04,1,West,16.34,30,5,Syracuse,80,15.64,35,12,BYU,75,,5,7,
143,18-Mar-04,2004,2003-04,1,West,11.36,58,7,DePaul,76,9.75,74,10,Dayton,69,2 OT,7,3,
144,18-Mar-04,2004,2003-04,1,West,16.5,29,8,Alabama,65,14.33,42,9,Southern Illinois,64,,1,1,
145,18-Mar-04,2004,2003-04,1,Midwest,20.27,20,10,Nevada,72,15.66,34,7,Michigan St.,66,,6,-3,10 over 7
146,19-Mar-04,2004,2003-04,1,Midwest,18.32,24,5,Providence,58,8.93,82,12,Pacific,66,,8,-7,12 over 5
147,19-Mar-04,2004,2003-04,1,East,27.37,4,2,Oklahoma St.,75,3.09,125,15,Eastern Washington,56,,19,13,
148,19-Mar-04,2004,2003-04,1,East,25.91,5,3,Pittsburgh,53,5.91,98,14,UCF,44,,9,11,
149,19-Mar-04,2004,2003-04,1,East,25.74,6,6,Wisconsin,76,15.07,38,11,Richmond,64,,12,5,
150,19-Mar-04,2004,2003-04,1,East,16.17,33,7,Memphis,59,15.02,39,10,South Carolina,43,,16,3,
151,19-Mar-04,2004,2003-04,1,Midwest,23.35,10,1,Kentucky,96,-9.35,256,16,Florida A&M,76,,20,15,
152,19-Mar-04,2004,2003-04,1,Midwest,24.69,8,3,Georgia Tech,65,8.78,84,14,Northern Iowa,60,,5,11,
153,19-Mar-04,2004,2003-04,1,Midwest,20.89,18,4,Kansas,78,10.39,63,13,Illinois Chicago,53,,25,9,
154,19-Mar-04,2004,2003-04,1,Midwest,15.42,37,6,Boston College,58,14.13,45,11,Utah,51,,7,5,
155,19-Mar-04,2004,2003-04,1,South,21.74,14,2,Mississippi St.,85,-3.99,194,15,Monmouth,52,,33,13,
156,19-Mar-04,2004,2003-04,1,South,21.56,16,4,Cincinnati,80,8.6,85,13,East Tennessee St.,77,,3,9,
157,19-Mar-04,2004,2003-04,1,South,22.11,13,5,Illinois,72,10.62,61,12,Murray St.,53,,19,7,
158,19-Mar-04,2004,2003-04,1,South,20.44,19,10,Louisville,70,20.16,21,7,Xavier,80,,10,3,
159,19-Mar-04,2004,2003-04,1,West,23.98,9,3,North Carolina St.,61,-5.28,218,14,Lafayette,52,,9,11,
