"","Date","Year","Round","Region","WSeed","Winner","wConf","WScore","W.AdjEM","LSeed","Loser","Lconf","LScore","AdjEM","Overtime"
"143","13-Mar-87",1987,"1","Southeast",13,"Missouri St.","MVC",65,NA,4,"Clemson","ACC",60,NA,""
"144","13-Mar-87",1987,"1","East",2,"Syracuse","BE",79,NA,15,"Georgia Southern","SC",73,NA,""
"145","13-Mar-87",1987,"1","East",3,"Purdue","B10",104,NA,14,"Northeastern","AE",95,NA,""
"146","13-Mar-87",1987,"1","East",6,"Florida","SEC",82,NA,11,"North Carolina St.","ACC",70,NA,""
"147","13-Mar-87",1987,"1","Midwest",2,"Temple","A10",75,NA,15,"Southern","SWAC",56,NA,""
"148","13-Mar-87",1987,"1","Midwest",3,"DePaul","CUSA",76,NA,14,"Louisiana Tech","WAC",62,NA,""
"149","13-Mar-87",1987,"1","Midwest",6,"St. John's","BE",57,NA,11,"Wichita St.","MVC",55,NA,""
"150","13-Mar-87",1987,"1","Southeast",1,"Georgetown","BE",75,NA,16,"Bucknell","Pat",53,NA,""
"151","13-Mar-87",1987,"1","Southeast",5,"Kansas","B12",66,NA,12,"Houston","CUSA",55,NA,""
"152","13-Mar-87",1987,"1","West",2,"Iowa","B10",99,NA,15,"Santa Clara","WCC",76,NA,""
"153","13-Mar-87",1987,"1","West",3,"Pittsburgh","BE",93,NA,14,"Marist","MAAC",68,NA,""
"154","13-Mar-87",1987,"1","West",6,"Oklahoma","B12",74,NA,11,"Tulsa","WAC",69,NA,""
"155","13-Mar-87",1987,"1","West",7,"UTEP","WAC",98,NA,10,"Arizona","P10",91,NA,"1 OT"
"156","13-Mar-87",1987,"1","East",10,"Western Kentucky","SB",64,NA,7,"West Virginia","BE",62,NA,""
"157","13-Mar-87",1987,"1","Midwest",10,"LSU","SEC",85,NA,7,"Georgia Tech","ACC",79,NA,""
"158","13-Mar-87",1987,"1","Southeast",9,"Ohio St.","B10",91,NA,8,"Kentucky","SEC",77,NA,""
"159","14-Mar-87",1987,"2","East",1,"North Carolina","ACC",109,NA,9,"Michigan","B10",97,NA,""
"160","14-Mar-87",1987,"2","Midwest",1,"Indiana","B10",107,NA,8,"Auburn","SEC",90,NA,""
"161","14-Mar-87",1987,"2","Midwest",5,"Duke","ACC",65,NA,13,"Xavier","A10",60,NA,""
"162","14-Mar-87",1987,"2","Southeast",2,"Alabama","SEC",101,NA,7,"New Orleans","SB",76,NA,""
"163","14-Mar-87",1987,"2","Southeast",6,"Providence","BE",90,NA,14,"Austin Peay","OVC",87,NA,"1 OT"
"164","14-Mar-87",1987,"2","West",1,"UNLV","MWC",80,NA,9,"Kansas St.","B12",61,NA,""
"165","14-Mar-87",1987,"2","West",12,"Wyoming","MWC",78,NA,4,"UCLA","P10",68,NA,""
"166","14-Mar-87",1987,"2","East",5,"Notre Dame","BE",58,NA,4,"TCU","CUSA",57,NA,""
"167","15-Mar-87",1987,"2","East",2,"Syracuse","BE",104,NA,10,"Western Kentucky","SB",86,NA,""
"168","15-Mar-87",1987,"2","Midwest",3,"DePaul","CUSA",83,NA,6,"St. John's","BE",75,NA,"1 OT"
"169","15-Mar-87",1987,"2","Southeast",1,"Georgetown","BE",82,NA,9,"Ohio St.","B10",79,NA,""
"170","15-Mar-87",1987,"2","Southeast",5,"Kansas","B12",67,NA,13,"Missouri St.","MVC",63,NA,""
"171","15-Mar-87",1987,"2","West",2,"Iowa","B10",84,NA,7,"UTEP","WAC",82,NA,""
"172","15-Mar-87",1987,"2","Midwest",10,"LSU","SEC",72,NA,2,"Temple","A10",62,NA,""
"173","15-Mar-87",1987,"2","East",6,"Florida","SEC",85,NA,3,"Purdue","B10",66,NA,""
"174","15-Mar-87",1987,"2","West",6,"Oklahoma","B12",96,NA,3,"Pittsburgh","BE",93,NA,""
"175","19-Mar-87",1987,"3","East",1,"North Carolina","ACC",74,NA,5,"Notre Dame","BE",68,NA,""
"176","19-Mar-87",1987,"3","East",2,"Syracuse","BE",87,NA,6,"Florida","SEC",81,NA,""
"177","19-Mar-87",1987,"3","Southeast",1,"Georgetown","BE",70,NA,5,"Kansas","B12",57,NA,""
"178","19-Mar-87",1987,"3","Southeast",6,"Providence","BE",103,NA,2,"Alabama","SEC",82,NA,""
"179","20-Mar-87",1987,"3","Midwest",1,"Indiana","B10",88,NA,5,"Duke","ACC",82,NA,""
"180","20-Mar-87",1987,"3","West",1,"UNLV","MWC",92,NA,12,"Wyoming","MWC",78,NA,""
"181","20-Mar-87",1987,"3","West",2,"Iowa","B10",93,NA,6,"Oklahoma","B12",91,NA,"1 OT"
"182","20-Mar-87",1987,"3","Midwest",10,"LSU","SEC",63,NA,3,"DePaul","CUSA",58,NA,""
"183","21-Mar-87",1987,"4","Southeast",6,"Providence","BE",88,NA,1,"Georgetown","BE",73,NA,""
"184","21-Mar-87",1987,"4","East",2,"Syracuse","BE",79,NA,1,"North Carolina","ACC",75,NA,""
"185","22-Mar-87",1987,"4","Midwest",1,"Indiana","B10",77,NA,10,"LSU","SEC",76,NA,""
"186","22-Mar-87",1987,"4","West",1,"UNLV","MWC",84,NA,2,"Iowa","B10",81,NA,""
"187","28-Mar-87",1987,"5","Final Four",1,"Indiana","B10",97,NA,1,"UNLV","MWC",93,NA,""
"188","28-Mar-87",1987,"5","Final Four",2,"Syracuse","BE",77,NA,6,"Providence","BE",63,NA,""
"189","30-Mar-87",1987,"6","Championship",1,"Indiana","B10",74,NA,2,"Syracuse","BE",73,NA,""
"190","17-Mar-88",1988,"1","East",2,"Duke","ACC",85,NA,15,"Boston University","AE",69,NA,""
"191","17-Mar-88",1988,"1","East",3,"Syracuse","BE",69,NA,14,"North Carolina A&T","MEAC",55,NA,""
"192","17-Mar-88",1988,"1","East",7,"SMU","WAC",83,NA,10,"Notre Dame","BE",75,NA,""
"193","17-Mar-88",1988,"1","Midwest",1,"Purdue","B10",94,NA,16,"Fairleigh Dickinson","NEC",79,NA,""
"194","17-Mar-88",1988,"1","Midwest",4,"Kansas St.","B12",66,NA,13,"La Salle","A10",53,NA,""
"195","17-Mar-88",1988,"1","Midwest",5,"DePaul","CUSA",83,NA,12,"Wichita St.","MVC",62,NA,""
"196","17-Mar-88",1988,"1","Southeast",1,"Oklahoma","B12",94,NA,16,"Chattanooga","SC",66,NA,""
"197","17-Mar-88",1988,"1","Southeast",4,"BYU","MWC",98,NA,13,"Charlotte","CUSA",92,NA,"1 OT"
"198","17-Mar-88",1988,"1","Southeast",5,"Louisville","CUSA",70,NA,12,"Oregon St.","P10",61,NA,""
"199","17-Mar-88",1988,"1","Southeast",8,"Auburn","SEC",90,NA,9,"Bradley","MVC",86,NA,""
"200","17-Mar-88",1988,"1","West",2,"North Carolina","ACC",83,NA,15,"North Texas","SB",65,NA,""
"201","17-Mar-88",1988,"1","West",3,"Michigan","B10",63,NA,14,"Boise St.","WAC",58,NA,""
"202","17-Mar-88",1988,"1","West",6,"Florida","SEC",62,NA,11,"St. John's","BE",59,NA,""
"203","17-Mar-88",1988,"1","East",11,"Rhode Island","A10",87,NA,6,"Missouri","B12",80,NA,""
"204","17-Mar-88",1988,"1","West",10,"Loyola Marymount","WCC",119,NA,7,"Wyoming","MWC",115,NA,""
"205","17-Mar-88",1988,"1","Midwest",9,"Memphis","CUSA",75,NA,8,"Baylor","B12",60,NA,""
"206","18-Mar-88",1988,"1","Midwest",14,"Murray St.","OVC",78,NA,3,"North Carolina St.","ACC",75,NA,""
"207","18-Mar-88",1988,"1","East",13,"Richmond","A10",72,NA,4,"Indiana","B10",69,NA,""
"208","18-Mar-88",1988,"1","East",1,"Temple","A10",87,NA,16,"Lehigh","Pat",73,NA,""
"209","18-Mar-88",1988,"1","East",5,"Georgia Tech","ACC",90,NA,12,"Iowa St.","B12",78,NA,""
"210","18-Mar-88",1988,"1","East",8,"Georgetown","BE",66,NA,9,"LSU","SEC",63,NA,""
"211","18-Mar-88",1988,"1","Midwest",2,"Pittsburgh","BE",108,NA,15,"Eastern Michigan","MAC",90,NA,""
"212","18-Mar-88",1988,"1","Midwest",6,"Kansas","B12",85,NA,11,"Xavier","A10",72,NA,""
"213","18-Mar-88",1988,"1","Midwest",7,"Vanderbilt","SEC",80,NA,10,"Utah St.","BW",77,NA,""
"214","18-Mar-88",1988,"1","Southeast",2,"Kentucky","SEC",99,NA,15,"Southern","SWAC",84,NA,""
"215","18-Mar-88",1988,"1","Southeast",3,"Illinois","B10",81,NA,14,"UTSA","Slnd",72,NA,""
"216","18-Mar-88",1988,"1","Southeast",6,"Villanova","BE",82,NA,11,"Arkansas","SEC",74,NA,""
"217","18-Mar-88",1988,"1","Southeast",7,"Maryland","ACC",92,NA,10,"UC Santa Barbara","BW",82,NA,""
"218","18-Mar-88",1988,"1","West",1,"Arizona","P10",90,NA,16,"Cornell","Ivy",50,NA,""
"219","18-Mar-88",1988,"1","West",4,"UNLV","MWC",54,NA,13,"Missouri St.","MVC",50,NA,""
