"Year","Round","WSeed","Winner","WScore","LSeed","Loser","LScore","Rank.x","AdjEM.x","Rank.y","AdjEM.y"
2005,"3",6,"Wisconsin",65,10,"North Carolina St.",56,17,20.81,23,18.93
2005,"3",2,"Kentucky",62,6,"Utah",52,9,24.1,20,20.33
2005,"4",1,"Illinois",90,3,"Arizona",89,2,32.68,13,22.22
2005,"4",4,"Louisville",93,7,"West Virginia",85,4,25.78,35,15
2005,"4",5,"Michigan St.",94,2,"Kentucky",88,5,25.67,9,24.1
2005,"4",1,"North Carolina",88,6,"Wisconsin",82,1,32.77,17,20.81
2005,"5",1,"North Carolina",87,5,"Michigan St.",71,1,32.77,5,25.67
2005,"5",1,"Illinois",72,4,"Louisville",57,2,32.68,4,25.78
2005,"6",1,"North Carolina",75,1,"Illinois",70,1,32.77,2,32.68
2006,"PI",16,"Monmouth",71,16,"Hampton",49,164,-0.68,271,-10.4
2006,"1",12,"Montana",87,5,"Nevada",79,87,8.95,37,15.22
2006,"1",12,"Texas A&M",66,5,"Syracuse",58,31,15.9,50,13.15
2006,"1",11,"Milwaukee",82,6,"Oklahoma",74,62,11.86,45,13.99
2006,"1",10,"Alabama",90,7,"Marquette",85,60,12.48,36,15.36
2006,"1",2,"Tennessee",63,15,"Winthrop",61,17,19.44,73,10.27
2006,"1",4,"Illinois",78,13,"Air Force",69,9,23.2,40,14.87
2006,"1",5,"Washington",75,12,"Utah St.",61,15,20.09,69,10.86
2006,"1",7,"Wichita St.",86,10,"Seton Hall",66,26,16.06,86,9.06
2006,"1",3,"Florida",76,14,"South Alabama",50,1,28.28,84,9.28
2006,"1",4,"Boston College",88,13,"Pacific",76,18,18.65,68,10.87
2006,"1",1,"Duke",70,16,"Southern",54,2,27.54,197,-3.4
2006,"1",4,"LSU",80,13,"Iona",64,11,22,65,11.33
2006,"1",8,"George Washington",88,9,"UNC Wilmington",85,43,14.67,42,14.77
2006,"1",2,"UCLA",78,15,"Belmont",44,7,23.4,165,-0.73
2006,"1",3,"Gonzaga",79,14,"Xavier",75,33,15.64,54,12.73
2006,"1",6,"Indiana",87,11,"San Diego St.",83,34,15.53,52,12.78
2006,"1",14,"Northwestern St.",64,3,"Iowa",63,93,7.51,21,18.22
2006,"1",13,"Bradley",77,4,"Kansas",73,25,16.5,8,23.22
2006,"1",11,"George Mason",75,6,"Michigan St.",65,22,18.16,27,16.02
2006,"1",10,"North Carolina St.",58,7,"California",52,30,15.92,47,13.68
2006,"1",1,"Connecticut",72,16,"Albany",59,4,25.44,138,2.63
2006,"1",3,"North Carolina",69,14,"Murray St.",65,10,22.16,89,8.56
2006,"1",8,"Kentucky",69,9,"UAB",64,24,17.13,56,12.65
2006,"1",1,"Villanova",58,16,"Monmouth",45,5,24.59,164,-0.68
2006,"1",2,"Ohio St.",70,15,"Davidson",62,14,20.68,122,4.86
2006,"1",7,"Georgetown",54,10,"Northern Iowa",49,13,21.29,32,15.84
2006,"1",8,"Arizona",94,9,"Wisconsin",75,23,17.23,39,14.94
2006,"1",2,"Texas",60,15,"Penn",52,3,25.79,97,7.3
2006,"1",6,"West Virginia",64,11,"Southern Illinois",46,16,19.49,48,13.6
2006,"1",1,"Memphis",94,16,"Oral Roberts",78,6,23.54,112,5.7
2006,"1",5,"Pittsburgh",79,12,"Kent St.",64,12,21.72,70,10.54
2006,"1",9,"Bucknell",59,8,"Arkansas",55,58,12.56,20,18.47
2006,"2",7,"Wichita St.",80,2,"Tennessee",73,26,16.06,17,19.44
2006,"2",3,"Florida",82,11,"Milwaukee",60,1,28.28,62,11.86
2006,"2",4,"Boston College",69,12,"Montana",56,18,18.65,87,8.95
2006,"2",1,"Duke",74,8,"George Washington",61,2,27.54,43,14.67
2006,"2",4,"LSU",58,12,"Texas A&M",57,11,22,31,15.9
2006,"2",2,"UCLA",62,10,"Alabama",59,7,23.4,60,12.48
2006,"2",3,"Gonzaga",90,6,"Indiana",80,33,15.64,34,15.53
2006,"2",5,"Washington",67,4,"Illinois",64,15,20.09,9,23.2
2006,"2",11,"George Mason",65,3,"North Carolina",60,22,18.16,10,22.16
2006,"2",13,"Bradley",72,5,"Pittsburgh",66,25,16.5,12,21.72
