Date,Year,Round,Region,WSeed,Winner,wConf,WScore,LSeed,Loser,Lconf,LScore,Overtime,MV,SeD,Upset,LEW,LAW,LDW
13-Mar-87,1987,1,Southeast,1,Georgetown,BE,75,16,Bucknell,Pat,53,,22,15,,0.007142857,0,-0.007142857
13-Mar-87,1987,1,Southeast,5,Kansas,B12,66,12,Houston,CUSA,55,,11,7,,0.514285714,0,-0.514285714
13-Mar-87,1987,1,West,2,Iowa,B10,99,15,Santa Clara,WCC,76,,23,13,,0.064285714,0,-0.064285714
13-Mar-87,1987,1,West,3,Pittsburgh,BE,93,14,Marist,MAAC,68,,25,11,,0.164285714,0,-0.164285714
13-Mar-87,1987,1,West,6,Oklahoma,B12,74,11,Tulsa,WAC,69,,5,5,,0.614285714,0,-0.614285714
13-Mar-87,1987,1,West,7,UTEP,WAC,98,10,Arizona,P10,91,1 OT,7,3,,0.621428571,0,-0.621428571
13-Mar-87,1987,1,East,10,Western Kentucky,SB,64,7,West Virginia,BE,62,,2,-3,10 over 7,0.9,0,-0.9
13-Mar-87,1987,1,Midwest,10,LSU,SEC,85,7,Georgia Tech,ACC,79,,6,-3,10 over 7,0.9,0,-0.9
13-Mar-87,1987,1,Southeast,9,Ohio St.,B10,91,8,Kentucky,SEC,77,,14,-1,,0.7,0,-0.7
14-Mar-87,1987,2,East,1,North Carolina,ACC,109,9,Michigan,B10,97,,12,8,,0.6,1,0.4
14-Mar-87,1987,2,Midwest,1,Indiana,B10,107,8,Auburn,SEC,90,,17,7,,0.7,1,0.3
14-Mar-87,1987,2,Midwest,5,Duke,ACC,65,13,Xavier,A10,60,,5,8,,0.25,1,0.75
14-Mar-87,1987,2,Southeast,2,Alabama,SEC,101,7,New Orleans,SB,76,,25,5,,0.9,1,0.1
14-Mar-87,1987,2,Southeast,6,Providence,BE,90,14,Austin Peay,OVC,87,1 OT,3,8,,0.164285714,1,0.835714286
14-Mar-87,1987,2,West,1,UNLV,MWC,80,9,Kansas St.,B12,61,,19,8,,0.6,1,0.4
14-Mar-87,1987,2,West,12,Wyoming,MWC,78,4,UCLA,P10,68,,10,-8,12 over 4,1.535714286,1,-0.535714286
14-Mar-87,1987,2,East,5,Notre Dame,BE,58,4,TCU,CUSA,57,,1,-1,,1.535714286,1,-0.535714286
15-Mar-87,1987,2,East,2,Syracuse,BE,104,10,Western Kentucky,SB,86,,18,8,,0.621428571,1,0.378571429
15-Mar-87,1987,2,Midwest,3,DePaul,CUSA,83,6,St. John's,BE,75,1 OT,8,3,,1.078571429,1,-0.078571429
15-Mar-87,1987,2,Southeast,1,Georgetown,BE,82,9,Ohio St.,B10,79,,3,8,,0.6,1,0.4
15-Mar-87,1987,2,Southeast,5,Kansas,B12,67,13,Missouri St.,MVC,63,,4,8,,0.25,1,0.75
15-Mar-87,1987,2,West,2,Iowa,B10,84,7,UTEP,WAC,82,,2,5,,0.9,1,0.1
15-Mar-87,1987,2,Midwest,10,LSU,SEC,72,2,Temple,A10,62,,10,-8,10 over 2,2.371428571,1,-1.371428571
15-Mar-87,1987,2,East,6,Florida,SEC,85,3,Purdue,B10,66,,19,-3,6 over 3,1.864285714,1,-0.864285714
15-Mar-87,1987,2,West,6,Oklahoma,B12,96,3,Pittsburgh,BE,93,,3,-3,6 over 3,1.864285714,1,-0.864285714
19-Mar-87,1987,3,East,1,North Carolina,ACC,74,5,Notre Dame,BE,68,,6,4,,1.107142857,2,0.892857143
19-Mar-87,1987,3,East,2,Syracuse,BE,87,6,Florida,SEC,81,,6,4,,1.078571429,2,0.921428571
19-Mar-87,1987,3,Southeast,1,Georgetown,BE,70,5,Kansas,B12,57,,13,4,,1.107142857,2,0.892857143
19-Mar-87,1987,3,Southeast,6,Providence,BE,103,2,Alabama,SEC,82,,21,-4,6 over 2,2.371428571,2,-0.371428571
20-Mar-87,1987,3,Midwest,1,Indiana,B10,88,5,Duke,ACC,82,,6,4,,1.107142857,2,0.892857143
20-Mar-87,1987,3,West,1,UNLV,MWC,92,12,Wyoming,MWC,78,,14,11,,0.514285714,2,1.485714286
20-Mar-87,1987,3,West,2,Iowa,B10,93,6,Oklahoma,B12,91,1 OT,2,4,,1.078571429,2,0.921428571
20-Mar-87,1987,3,Midwest,10,LSU,SEC,63,3,DePaul,CUSA,58,,5,-7,10 over 3,1.864285714,2,0.135714286
21-Mar-87,1987,4,Southeast,6,Providence,BE,88,1,Georgetown,BE,73,,15,-5,6 over 1,3.357142857,3,-0.357142857
21-Mar-87,1987,4,East,2,Syracuse,BE,79,1,North Carolina,ACC,75,,4,-1,,3.357142857,3,-0.357142857
22-Mar-87,1987,4,Midwest,1,Indiana,B10,77,10,LSU,SEC,76,,1,9,,0.621428571,3,2.378571429
22-Mar-87,1987,4,West,1,UNLV,MWC,84,2,Iowa,B10,81,,3,1,,2.371428571,3,0.628571429
28-Mar-87,1987,5,Final Four,1,Indiana,B10,97,1,UNLV,MWC,93,,4,0,,3.357142857,4,0.642857143
28-Mar-87,1987,5,Final Four,2,Syracuse,BE,77,6,Providence,BE,63,,14,4,,1.078571429,4,2.921428571
30-Mar-87,1987,6,Championship,1,Indiana,B10,74,2,Syracuse,BE,73,,1,1,,2.371428571,5,2.628571429
17-Mar-88,1988,1,East,2,Duke,ACC,85,15,Boston University,AE,69,,16,13,,0.064285714,0,-0.064285714
17-Mar-88,1988,1,East,3,Syracuse,BE,69,14,North Carolina A&T,MEAC,55,,14,11,,0.164285714,0,-0.164285714
17-Mar-88,1988,1,East,7,SMU,WAC,83,10,Notre Dame,BE,75,,8,3,,0.621428571,0,-0.621428571
17-Mar-88,1988,1,Midwest,1,Purdue,B10,94,16,Fairleigh Dickinson,NEC,79,,15,15,,0.007142857,0,-0.007142857
17-Mar-88,1988,1,Midwest,4,Kansas St.,B12,66,13,La Salle,A10,53,,13,9,,0.25,0,-0.25
17-Mar-88,1988,1,Midwest,5,DePaul,CUSA,83,12,Wichita St.,MVC,62,,21,7,,0.514285714,0,-0.514285714
17-Mar-88,1988,1,Southeast,1,Oklahoma,B12,94,16,Chattanooga,SC,66,,28,15,,0.007142857,0,-0.007142857
17-Mar-88,1988,1,Southeast,4,BYU,MWC,98,13,Charlotte,CUSA,92,1 OT,6,9,,0.25,0,-0.25
17-Mar-88,1988,1,Southeast,5,Louisville,CUSA,70,12,Oregon St.,P10,61,,9,7,,0.514285714,0,-0.514285714
17-Mar-88,1988,1,Southeast,8,Auburn,SEC,90,9,Bradley,MVC,86,,4,1,,0.6,0,-0.6
17-Mar-88,1988,1,West,2,North Carolina,ACC,83,15,North Texas,SB,65,,18,13,,0.064285714,0,-0.064285714
17-Mar-88,1988,1,West,3,Michigan,B10,63,14,Boise St.,WAC,58,,5,11,,0.164285714,0,-0.164285714
17-Mar-88,1988,1,West,6,Florida,SEC,62,11,St. John's,BE,59,,3,5,,0.614285714,0,-0.614285714
17-Mar-88,1988,1,East,11,Rhode Island,A10,87,6,Missouri,B12,80,,7,-5,11 over 6,1.078571429,0,-1.078571429
17-Mar-88,1988,1,West,10,Loyola Marymount,WCC,119,7,Wyoming,MWC,115,,4,-3,10 over 7,0.9,0,-0.9
17-Mar-88,1988,1,Midwest,9,Memphis,CUSA,75,8,Baylor,B12,60,,15,-1,,0.7,0,-0.7
18-Mar-88,1988,1,Midwest,14,Murray St.,OVC,78,3,North Carolina St.,ACC,75,,3,-11,14 over 3,1.864285714,0,-1.864285714
18-Mar-88,1988,1,East,13,Richmond,A10,72,4,Indiana,B10,69,,3,-9,13 over 4,1.535714286,0,-1.535714286
18-Mar-88,1988,1,East,1,Temple,A10,87,16,Lehigh,Pat,73,,14,15,,0.007142857,0,-0.007142857
18-Mar-88,1988,1,East,5,Georgia Tech,ACC,90,12,Iowa St.,B12,78,,12,7,,0.514285714,0,-0.514285714
18-Mar-88,1988,1,East,8,Georgetown,BE,66,9,LSU,SEC,63,,3,1,,0.6,0,-0.6
