"Year","Round","WSeed","Winner","WScore","LSeed","Loser","LScore","AdjEM.x","AdjO.x","AdjD.x","AdjT.x","Luck.x","SoS.AdjEM.x","OppO.x","OppD.x","NCSOS.AdjEM.x","AdjEM.y","AdjO.y","AdjD.y","AdjT.y","Luck.y","SoS.AdjEM.y","OppO.y","OppD.y","NCSOS.AdjEM.y"
2003,"3",2,"Kansas",69,3,"Duke",65,28.62,115,86.4,72.2,-0.017,11.84,108.6,96.8,6.07,23.75,115,91.3,70.7,-0.03,8.85,107.1,98.3,0.64
2003,"3",3,"Marquette",77,2,"Pittsburgh",74,21.3,120.5,99.2,65.7,0.07,7.93,106.1,98.2,-1.45,28.61,114.8,86.2,64.7,-0.023,7.08,105.5,98.4,-8.24
2003,"3",1,"Oklahoma",65,12,"Butler",54,23.01,112.1,89.1,62.7,0.034,9.01,106.7,97.7,-2.32,16.09,115.4,99.3,58.6,0.073,4.1,104.5,100.4,1.84
2003,"3",3,"Syracuse",79,10,"Auburn",78,23.28,114.4,91.1,71,0.083,10.32,106.6,96.3,-3.63,13.63,107.7,94.1,66.6,0.051,8.22,106,97.8,-4.71
2003,"3",1,"Texas",82,5,"Connecticut",78,23.49,119.3,95.8,69.4,-0.009,10.36,107.1,96.7,2.16,19.54,111.6,92,71.2,0.005,8.75,107.3,98.6,-3.48
2003,"3",7,"Michigan St.",60,6,"Maryland",58,20.26,110.1,89.9,63.6,-0.05,10.11,107.3,97.2,3.2,22,110.9,88.9,71.5,-0.078,8.23,106.6,98.4,-5.29
2003,"4",3,"Marquette",83,1,"Kentucky",69,21.3,120.5,99.2,65.7,0.07,7.93,106.1,98.2,-1.45,29.18,116.5,87.4,67.7,0.051,11.2,108.6,97.4,6.77
2003,"4",2,"Kansas",78,1,"Arizona",75,28.62,115,86.4,72.2,-0.017,11.84,108.6,96.8,6.07,26.8,115.6,88.8,72.7,-0.007,8.69,107.2,98.5,8.19
2003,"4",1,"Texas",85,7,"Michigan St.",76,23.49,119.3,95.8,69.4,-0.009,10.36,107.1,96.7,2.16,20.26,110.1,89.9,63.6,-0.05,10.11,107.3,97.2,3.2
2003,"4",3,"Syracuse",63,1,"Oklahoma",47,23.28,114.4,91.1,71,0.083,10.32,106.6,96.3,-3.63,23.01,112.1,89.1,62.7,0.034,9.01,106.7,97.7,-2.32
2003,"5",2,"Kansas",94,3,"Marquette",61,28.62,115,86.4,72.2,-0.017,11.84,108.6,96.8,6.07,21.3,120.5,99.2,65.7,0.07,7.93,106.1,98.2,-1.45
