Year,Round,Fseed,Favored,Fscore,Useed,Underdog,Uscore,Winner
2006,4,1,Connecticut,84,11,George Mason,86,George Mason
2006,4,3,Florida,75,1,Villanova,62,Florida
2006,5,2,UCLA,59,4,LSU,45,UCLA
2006,5,3,Florida,73,11,George Mason,58,Florida
2006,6,3,Florida,73,2,UCLA,57,Florida
2007,PI,16,Niagara,77,16,Florida A&M,69,Niagara
2007,1,6,Duke,77,11,VCU,79,VCU
2007,1,1,North Carolina,86,16,Eastern Kentucky,65,North Carolina
2007,1,2,Georgetown,80,15,Belmont,55,Georgetown
2007,1,3,Washington St.,70,14,Oral Roberts,54,Washington St.
2007,1,6,Vanderbilt,77,11,George Washington,44,Vanderbilt
2007,1,7,Boston College,84,10,Texas Tech,75,Boston College
2007,1,4,Maryland,82,13,Davidson,70,Maryland
2007,1,5,Butler,57,12,Old Dominion,46,Butler
2007,1,1,Ohio St.,78,16,Central Connecticut,57,Ohio St.
2007,1,3,Texas A&M,68,14,Penn,52,Texas A&M
2007,1,6,Louisville,78,11,Stanford,58,Louisville
2007,1,2,UCLA,70,15,Weber St.,42,UCLA
2007,1,3,Pittsburgh,79,14,Wright St.,58,Pittsburgh
2007,1,7,Indiana,70,10,Gonzaga,57,Indiana
2007,1,9,Michigan St.,61,8,Marquette,49,Michigan St.
2007,1,9,Xavier,79,8,BYU,77,Xavier
2007,1,6,Notre Dame,64,11,Winthrop,74,Winthrop
2007,1,4,Texas,79,13,New Mexico St.,67,Texas
2007,1,5,USC,77,12,Arkansas,60,USC
2007,1,1,Florida,112,16,Jackson St.,69,Florida
2007,1,2,Wisconsin,76,15,Texas A&M Corpus Chris,63,Wisconsin
2007,1,3,Oregon,58,14,Miami OH,56,Oregon
2007,1,10,Georgia Tech,63,7,UNLV,67,UNLV
2007,1,2,Memphis,73,15,North Texas,58,Memphis
2007,1,4,Virginia,84,13,Albany,57,Virginia
2007,1,5,Tennessee,121,12,Long Beach St.,86,Tennessee
2007,1,10,Creighton,71,7,Nevada,77,Nevada
2007,1,1,Kansas,107,16,Niagara,67,Kansas
2007,1,4,Southern Illinois,61,13,Holy Cross,51,Southern Illinois
2007,1,12,Illinois,52,5,Virginia Tech,54,Virginia Tech
2007,1,8,Kentucky,67,9,Villanova,58,Kentucky
2007,1,8,Arizona,63,9,Purdue,72,Purdue
2007,2,3,Washington St.,74,6,Vanderbilt,78,Vanderbilt
2007,2,1,North Carolina,81,9,Michigan St.,67,North Carolina
2007,2,2,Georgetown,62,7,Boston College,55,Georgetown
2007,2,1,Ohio St.,78,9,Xavier,71,Ohio St.
2007,2,3,Texas A&M,72,6,Louisville,69,Texas A&M
2007,2,2,UCLA,54,7,Indiana,49,UCLA
2007,2,3,Pittsburgh,84,11,VCU,79,Pittsburgh
2007,2,4,Maryland,59,5,Butler,62,Butler
2007,2,2,Wisconsin,68,7,UNLV,74,UNLV
2007,2,1,Florida,74,9,Purdue,67,Florida
2007,2,3,Oregon,75,11,Winthrop,61,Oregon
2007,2,2,Memphis,78,7,Nevada,62,Memphis
2007,2,1,Kansas,88,8,Kentucky,76,Kansas
2007,2,4,Southern Illinois,63,5,Virginia Tech,48,Southern Illinois
2007,2,4,Texas,68,5,USC,87,USC
2007,2,5,Tennessee,77,4,Virginia,74,Tennessee
2007,3,1,Ohio St.,85,5,Tennessee,84,Ohio St.
